Province,Average Points,Average Price,Country,Number of Wines,Log Number of Wines
Aconcagua Valley,88.12941176470588,44.90588235294118,Chile,85,4.409390936137702
Aegean,89.0952380952381,29.285714285714285,Turkey,21,2.3923174227787602
Alentejano,88.03601108033241,21.343490304709142,Portugal,722,7.495855026887171
Alentejo,88.64779874213836,26.71069182389937,Portugal,159,5.312882955284356
Alsace,89.94398682042834,32.31576057111477,France,1821,8.830515206976838
America,86.95652173913044,21.3768115942029,US,69,4.108524456778169
Andalucia,89.75135135135135,35.76756756756757,Spain,185,5.531381460516312
Arizona,85.06666666666666,29.133333333333333,US,30,2.9068905956085187
Australia Other,85.71111111111111,13.903703703703703,Australia,135,5.076815597050831
Baden,89.7719298245614,58.07017543859649,Germany,57,3.8328900141647417
Bairrada,88.7748344370861,25.271523178807946,Portugal,151,5.2384047393250786
Beaujolais,88.25850340136054,21.03061224489796,France,588,7.199672344836364
Beira Interior,88.97058823529412,18.08823529411765,Portugal,34,3.0874628412503395
Bordeaux,87.5,26.742451154529306,France,1126,8.13699111208023
British Columbia,89.78494623655914,35.666666666666664,Canada,93,4.539158811108031
Burgenland,90.17171717171718,33.72727272727273,Austria,396,6.6293566200796095
Burgundy,90.01160092807424,63.33735498839907,France,2155,9.07347215397646
Bío Bío Valley,85.75,14.833333333333334,Chile,36,3.169925001442312
Cachapoal Valley,87.32446808510639,25.26063829787234,Chile,188,5.554588851677638
California,89.14073188823869,43.36586169949724,US,24266,12.56664869422868
Canelones,86.48648648648648,23.972972972972972,Uruguay,37,3.2094533656289497
Carnuntum,90.76623376623377,31.051948051948052,Austria,77,4.266786540694901
Casablanca Valley,86.32830188679246,18.024528301886793,Chile,530,7.049848549450561
Catalonia,87.45746691871456,28.421550094517958,Spain,1058,8.047123912114026
Central Italy,87.60580411124546,26.94074969770254,Italy,827,7.691743519171275
Central Otago,89.3125,44.46875,New Zealand,96,4.584962500721156
Central Spain,85.70605187319885,20.35158501440922,Spain,347,6.438791852578261
Central Valley,85.19402985074628,14.2636815920398,Chile,201,5.651051691178929
Champagne,90.26338639652677,79.47901591895803,France,1382,8.432541900388259
Chile,85.77777777777777,21.933333333333334,Chile,45,3.4918530963296748
Coastal Region,87.75,20.223684210526315,South Africa,76,4.247927513443585
Colchagua Valley,87.20703653585927,22.92828146143437,Chile,739,7.529430554146151
Colorado,85.92307692307692,43.80769230769231,US,26,2.700439718141092
