Year,France,Italy,Portugal,Spain,Austria,Belgium,Denmark,Finland,Germany,Greece,Ireland,Netherlands,Sweden,Switzerland,United Kingdom,Other WEM,Bulgaria,Croatia,Georgia,Hungary,Moldova,Romania,Russia,Ukraine,Other ECA,Australia,New Zealand,Canada,United States,Argentina,Brazil,Chile,Mexico,Uruguay,Other LAC,Algeria,Morocco,South Africa,Tunisia,Turkey,Other AME,China,Hong Kong,India,Japan,Korea,Malaysia,Philippines,Singapore,Taiwan,Thailand,Other Asia Pacific,Other,World
1835,"2,669,460",,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,"8,997",,,,,,,,,,,,,,,,
1836,"3,139,583",,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,"9,715",,,,,,,,,,,,,,,,
1837,"3,834,476",,,,"119,280",,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,"10,536",,,,,,,,,,,,,,,,
1838,"2,547,320",,"308,900",,"123,015",,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,"10,427",,,,,,,,,,,,,,,,
1839,"2,676,487",,"295,700",,"122,000",,,,,,,,,,0,,,,,,,,,,,,,,472,,,,,,,,,"10,999",,,,,,,,,,,,,,,,
1840,"2,792,689",,"386,800",,"124,713",,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,"9,212",,,,,,,,,,,,,,,,
1841,"3,394,148",,"295,700",,"120,000",,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,"12,404",,,,,,,,,,,,,,,,
1842,"3,460,890",,"318,200",,"114,009",,,,"204,035",,,,,,0,,,,,,,,,,,,,,,,,,,,,,,"10,650",,,,,,,,,,,,,,,,
1843,"1,923,134",,"333,400",,"118,767",,,,,,,,,,0,,,,,,,,,,,131,,,,,,,,,,,,"7,814",,,,,,,,,,,,,,,,
1844,"2,948,162",,"318,200",,"123,597",,,,,,,,,,0,,,,,,,,,,,137,,,,,,,,,,,,"9,552",,,,,,,,,,,,,,,,
1845,"3,035,598",,"395,500",,"127,347",,,,,,,,,,0,,,,,,,,,,,228,,,,,,,,,,,,"9,985",,,,,,,,,,,,,,,,
1846,"3,270,486",,"453,100",,"125,169",,,,"288,000",,,,,,0,,,,,,,,,,,274,,,,,,,,,,,,"11,365",,,,,,,,,,,,,,,,
1847,"5,472,236",,,,"128,040",,,,"294,000",,,,,,0,,,,,,,,,,,336,,,,,,,,,,,,"11,365",,,,,,,,,,,,,,,,
1848,"5,200,932",,"422,000",,"128,700",,,,"298,000",,,,,,0,,,,,,,,,,,347,,,,,,,,,,,,"6,285",,,,,,,,,,,,,,,,
1849,"3,582,267",,"256,800",,"128,700",,,,"218,000",,,,,,0,,,,,,,,,,,556,,,825,,,,,,,,,"12,159",,,,,,,,,,,,,,,,
1850,"4,560,550",,"326,700",,"128,700",,,,"169,000",,,,,,0,,,,,,,,,,,582,,,,,,,,,,,,"12,159",,,,,,,,,,,,,,,,
1851,"3,972,495",,"439,500",,"131,670",,,,"107,000",,,,,,0,,,,,,,,,,,689,,,,,,,,,,,,"12,159",,,,,,,,,,,,,,,,
1852,"2,885,077",,"399,900",,"138,600",,,,"165,000",,,,,,0,,,,,,,,,,,565,,,,,,,,,,,,"10,297",,,,,,,,,,,,,,,,
1853,"2,283,168",,"269,400",,"140,000",,,,"163,000",,,,,,0,,,,,,,,,,,578,,,,,,,,,,,,"14,453",,,,,,,,,,,,,,,,
1854,"1,090,518",,"216,700",,"156,882",,,,"42,000",,,,,,0,,,,,,,,,,,483,,,,,,,,,,"2,549",,"14,077",,,,,,,,,,,,,,,,
1855,"1,528,881",,"149,600",,"165,000",,,,"105,000",,741,,,,0,,,,,,,,,,,486,,,,,,,,,,"1,501",,"14,413",,,,,,,,,,,,,,,,
1856,"2,145,371",,"65,600",,"180,000",,,,"102,000",,,,,,0,,,,,,,,,,,894,,,,,,,,,,,,"14,413",,,,,,,,,,,,,,,,
1857,"3,567,558",,"42,300",,"209,748",,,,"196,000",,,,,,0,,,,,,,,,,,941,,,,,,,,,,,,"14,413",,,,,,,,,,,,,,,,
1858,"5,432,339",,"208,800",,"200,000",,,,"359,000",,,,,,0,,,,,,,,,,,"1,159",,,,,,,,,,"3,857",,"14,413",,,,,,,,,,,,,,,,
1859,"3,011,518",,"88,400",,"196,647",,,,"319,000",,,,,,0,,,,,,,,,,,"1,119",,,"6,124",,,,,,,"4,949",,"14,413",,,,,,,,,,,,,,,,
1860,"3,985,514","1,730,000","79,300","1,224,801","192,562",,,,"172,000","114,073",,,,"60,000",0,"16,326","154,177",,,"438,488",,"358,763","250,000",,"23,268","1,341",0,0,"6,770","3,624","17,313","25,126",323,"2,266",807,"7,825",83,"14,396",280,"21,000",52,,,,700,,,,,,,,,"9,501,098"
1861,"3,000,662","1,730,000","111,100","1,278,712","188,478",,,,"109,000","114,814",,,,"60,000",0,"14,312","101,344",,,"288,228",,"235,823","250,000",,"15,294","1,927",4,87,"7,416","3,729","17,828","25,126",344,"2,296",807,"3,668",39,"14,510",131,"21,000",43,,,,700,,,,,,,,,"8,186,125"
