winery,country,provinces,prices,scores,designations,varieties,num_wines
1+1=3,{Spain},{Catalonia},"{16.0, 18.0, 20.0}","{89, 82, 86, 87}","{Rosé, Cygnus Brut Nature Reserva Made With Organic Grapes, Brut}","{Sparkling Blend, Cabernet Sauvignon}",6
10 Knots,{US},{California},"{35.0, 21.0}","{81, 83}","{Beachcomber, Moonraker}","{Rhône-style White Blend, Grenache}",2
100 Percent Wine,{US},{California},{18.0},"{89, 84}",{All Profits to Charity},"{Sauvignon Blanc, Red Blend}",2
1000 Stories,{US},{California},{19.0},"{90, 91}","{Bourbon Barrel Aged, Bourbon Barrel Aged Batch No 13}",{Zinfandel},2
12 Linajes,{Spain},{Northern Spain},"{25.0, 35.0, 60.0, 33.0}","{88, 91, 92}","{Reserva, Crianza}",{Tempranillo},5
12C Wines,{US},{California},"{99.0, 75.0, 79.0, 115.0, 95.0}","{90, 93, 94}","{G3 Beckstoffer Vineyard Georges III, Beckstoffer Vineyard  Georges III, Beckstoffer Vineyard Georges III, Beckstoffer Vineyard Georges III G3}",{Cabernet Sauvignon},5
14 Hands,{US},{Washington},"{10.0, 12.0, 15.0, 22.0, 24.0, 25.0, 30.0}","{85, 86, 87, 88, 89, 90, 91}","{The Reserve, Hot to Trot, Limited Release Kentucky Derby, Hot To Trot, Brut Methode Champenoise}","{Red Blend, White Blend, Sparkling Blend, Merlot, Sauvignon Blanc}",39
1752 Signature Wines,{France},{Provence},{20.0},{88},{Marion},{Rosé},1
18401 Cellars,{US},"{Oregon, Washington}",{75.0},"{91, 92}",{Proprietary},{Bordeaux-style Red Blend},3
1848 Winery,{Israel},"{Galilee, Judean Hills}","{40.0, 25.0, 60.0, 45.0}","{88, 89, 91}","{Second Generation, Special Reserve, Reserve, Fifth Generation}","{Red Blend, Cabernet Merlot, Cabernet Sauvignon-Merlot, Cabernet Sauvignon, Chardonnay}",6
2 Lads,{US},{Michigan},"{75.0, 44.0}","{89, 86}","{Reserve, D. Cuvée}","{Cabernet Franc, Pinot Noir}",2
29 & Oak Wines,{US},{California},"{45.0, 85.0}","{90, 92}","{Proprietary, Reserve}","{Cabernet Sauvignon, Red Blend, Bordeaux-style Red Blend}",3
2Hawk,{US},{Oregon},"{40.0, 45.0, 22.0}","{88, 86, 87}","{Limited Reserve, Red-Tail Red v.2}","{Tempranillo, Bordeaux-style Red Blend}",4
2Plank,{US},{California},"{25.0, 34.0, 52.0}","{88, 91, 84}","{Solstice, Cold Smoke, Bonsall}","{Viognier, Viognier-Chardonnay, Cabernet Sauvignon}",3
2nd Chance,{US},{California},{48.0},{87},{Swiss Clones 2A},{Pinot Noir},1
3 Badge Beverage,{US},{California},{30.0},{84},{Gehricke},{Chardonnay},1
3 Horse Ranch Vineyards,{US},"{Idaho, America, Washington}","{35.0, 15.0, 16.0, 17.0, 18.0, 19.0, 21.0, 23.0, 25.0, 26.0, 30.0}","{83, 84, 85, 86, 87, 88, 89}","{Reserve, Single Vineyard, Estate Grown, Barrel Select Reserve, Beau Geste}","{White Blend, Syrah, Rosé, Syrah-Mourvèdre, Chardonnay}",25
3 Spells,{US},{California},{26.0},{81},{Blend GHK},{Red Blend},1
3 Steves Winery,{US},{California},{26.0},{80},{Reserve},{Cabernet Sauvignon},1
32 Winds,{US},{California},"{49.0, 59.0, 39.0}","{86, 94, 87}","{Monument Tree Vineyard, Hirsch Vineyard, Hudson Vineyard}","{Chardonnay, Pinot Noir}",3
3CV,{US},{California},{20.0},{84},{Bank Three Creek Vineyard},{Red Blend},1
3Fools,{US},{Oregon},{22.0},"{82, 84}","{Fools Gold, Del Rio Red}","{Pinot Noir, Red Blend}",3
428 Wines,{US},{Washington},{34.0},{85},{Boulevard},{Red Blend},1
42°S,{Australia},{Tasmania},{20.0},{89},{Brut Méthode Traditionelle Sparkling Wine},{Champagne Blend},1
460 Casina Bric,{Italy},{Piedmont},"{65.0, 60.0}","{88, 89}",{Bricco delle Viole},{Nebbiolo},2
5OS Project,{Australia},{South Australia},{25.0},{90},{Single Vineyard},{Shiraz-Viognier},1
6 North,{US},{California},"{59.0, 52.0, 29.0, 55.0}","{90, 93, 85, 86}","{Flagstone, The Big Cat, Stagecoach Vineyard Threshold}","{Cabernet Sauvignon, Zinfandel}",5
75 Wine Co.,{US},{California},{20.0},{91},{The Sum},{Red Blend},1
8 Chains North,{US},{Virginia},{32.0},{86},{Furnace Mountain Dry},{Red Blend},1
868 Estate,{US},{Virginia},{27.0},{84},{Meritage},{Red Blend},1
:Nota Bene,{US},{Washington},"{32.0, 35.0, 37.0, 40.0, 25.0, 30.0}","{85, 86, 87, 88, 89, 90, 91, 92}","{Ciel du Cheval Vineyard, Una Notte, Conner Lee Vineyard, Miscela, Arianses Vineyard}","{Bordeaux-style Red Blend, Syrah, Rhône-style Red Blend, Malbec, Merlot}",56
A Blooming Hill Vineyard,{US},{Oregon},"{19.0, 30.0}","{88, 85, 87}","{Trouble, Gemini, Mingle}","{Pinot Noir, White Blend}",6
A Coroa,{Spain},{Northern Spain},{34.0},{89},{200 Cestos},{Godello},1
A Donkey and Goat,{US},{California},{35.0},"{89, 91}","{Fenaughty Vineyard, Perli Vineyards}",{Syrah},3
A to Z,{US},{Oregon},"{28.0, 20.0}","{88, 90}","{The Essence of Oregon, Night & Day Red Wine}","{Pinot Noir, Red Blend}",2
A. Christmann,{Germany},{Pfalz},"{40.0, 73.0, 42.0, 35.0}","{88, 89, 90}","{Gimmeldinger Biengarten Trocken, Königsbacher Idig Trocken, Deidesheimer Paradiesgarten Trocken}",{Riesling},4
A. D. Coutelas,{France},{Champagne},"{40.0, 80.0, 50.0, 55.0, 60.0}","{88, 90, 91, 87}","{Vintage Brut, Origin Brut, Cuvée Louis Victor Brut, Eloge Blanc de Blancs Brut}","{Champagne Blend, Chardonnay}",6
A. Margaine,{France},{Champagne},"{62.0, 55.0}","{88, 91}","{Brut Rosé, Le Brut Premier Cru}",{Champagne Blend},2
